text,label
The pencil is on the paper.,correct
The diamond ring sparkled like the other pieces of jewelry in the store.,incorrect
He sat in the back seat.,correct
She danced on the rooftop.,correct
The watch is on his wrist.,correct
The train stopped at the station.,correct
The dog is sitting on the mat.,correct
The girl jumped over the puddle.,correct
The restaurant is across from the park.,correct
The car is parked in front of the house.,correct
We walked across the bridge.,correct
The book is inside the bag.,correct
The length by the movie was long.,incorrect
after the items in her shopping cart were fruits and vegetables.,incorrect
She sat in the car.,correct
The bike leaned against the wall.,correct
He hid behind the tree.,correct
The teacher is standing in front of the class.,correct
We waited in line.,correct
The picture is on the wall opposite the window.,correct
The boat sailed around the island.,correct
The coat is on the hanger.,correct
The coffee spilled on the counter.,correct
The shirt is on the hanger.,correct
"During the rehearsal, we practiced our lines.",correct
The vase is next to the lamp.,correct
She slept on the couch.,correct
The clouds formed above the city.,correct
The balloon floated above the crowd.,correct
The box is next to the door.,correct
The fork is beside the knife.,correct
They ran through the field.,correct
The cat slept under the bed.,correct
The bee landed on the flower.,correct
The bird flew over the mountain.,correct
The cat is chasing the mouse around the room.,correct
I learned a new language during my travels.,correct
He put the keys in the ignition.,correct
The car is parked in the garage.,correct
The boy ran towards his mother.,correct
He went into the room.,correct
We waited at the stoplight.,correct
I always drink water during my workout.,correct
The meeting will take place upon the office.,incorrect
"Before the storm, the sky turned dark.",correct
The pencil is on the desk.,correct
"Except for the rain, the weather was perfect.",correct
The sun rose above the horizon.,correct
The building is located near the river.,correct
She walked up the stairs.,correct
The flower is in the pot.,correct
The chair is against the wall.,correct
The horse galloped around the track.,correct
He stood on the rooftop.,correct
The television is on the stand.,correct
The water is in the glass.,correct
They ran down the hill.,correct
The taste while the cake was delicious.,incorrect
He hid in the closet.,correct
The spider hung from the ceiling.,correct
The bird flew over the nest.,correct
The spider crawled under the bed.,correct
"By the riverbank, there was a camping site.",correct
She walked beside the lake.,correct
The paper is inside the folder,correct
"like the candidates interviewed for the job, only a few were selected.",incorrect
He ran past the store.,correct
He played on the field.,correct
The cat is sitting in the box.,correct
She danced around the room.,correct
She sat on the stool.,correct
The fish swam under the water.,correct
The water flowed through the pipe.,correct
"At the top of the mountain, the view was breathtaking.",correct
She hid behind the tree.,correct
He walked through the tunnel.,correct
The book is under the bed.,correct
"During the surgery, the patient was under anesthesia.",correct
The ball bounced off the wall.,correct
The plane landed on the runway.,correct
The rabbit ran into the hole.,correct
The plate is on the placemat.,correct
The butterfly flew past the flowers.,correct
The bird is landing on the branch.,correct
The coffee spilled onto the table.,correct
The bird flew across the sky.,correct
The moon is shining through the window.,correct
They walked towards the beach.,correct
The boat is sailing on the lake.,correct
The keys are on the table.,correct
The sun shone through the window.,correct
"Until tomorrow, we will have to wait.",correct
The ball bounced off the wall.,correct
He stood in front of the mirror.,correct
The snow fell onto the ground.,correct
The color while the sky is blue.,incorrect
We walked down the stairs.,correct
We need to be careful on this delicate vase.,incorrect
The tennis player made a comeback through his opponent.,incorrect
The bird is sitting on the branch.,correct
The spider crawled onto the wall.,correct
The flowers bloomed beside the pond.,correct
They danced around the room.,correct
The bird flew above the clouds.,correct
He swam under the water.,correct
She walked up the stairs.,correct
The flowers are in the vase.,correct
They hiked up the mountain.,correct
She walked towards the store.,correct
She hung the picture on the wall.,correct
The cat walked between the chairs.,correct
They walked around the block.,correct
The toothbrush is in the holder.,correct
The bird flew towards the tree.,correct
She rode on the bus.,correct
The boat sailed across the lake.,correct
The plane landed on the runway.,correct
The dog jumped over the fence.,correct
"Except for the cat, all the animals were asleep.",correct
The moon is rising above the trees.,correct
The plane flew at the clouds.,incorrect
We stood at the crosswalk.,correct
He sat under the tree.,correct
The coat is hanging on the hook.,correct
The book is on the table.,correct
"Below the average, his grades were disappointing.",correct
The mouse ran under the bed.,correct
The bicycle is leaning against the wall.,correct
The hat is on the mannequin.,correct
The cup is on the saucer.,correct
"To the left of the house, there was a garden.",correct
The butterfly fluttered around the flower.,correct
The car drove past the stop sign.,correct
The flowers grew in the garden.,correct
The cookies are in the jar.,correct
She ran around the track.,correct
The cup is on the saucer.,correct
She swam across the lake.,correct
The snow fell onto the ground.,correct
The ball is inside the box.,correct
He lives in a small apartment.,incorrect
He walked up to the counter.,correct
He climbed over the fence.,correct
The fork is next to the knife.,correct
The trash is in the bin.,correct
The book is on the shelf.,correct
The pizza was delivered to the door.,correct
The clock is above the doorway.,correct
"By the fireplace, we enjoyed a cup of hot cocoa.",correct
The dog is running toward the ball.,correct
She always sits beside me in class.,correct
The picture frame is hanging above the couch.,correct
The old book was found beneath the dusty shelves.,correct
The car is parked underneath the streetlamp.,correct
The keys are hidden inside the drawer.,correct
The little boy ran towards his mother.,correct
The hot air balloon is floating over the city.,correct
The dog is resting near the fireplace.,correct
The cake is on the platter.,correct
The plane is landing onto the runway.,correct
The butterfly is fluttering around the flowers.,correct
The alarm clock is next to the bed.,correct
The snow is falling onto the ground.,correct
The train is passing beneath the bridge.,correct
The squirrel is climbing up the tree.,correct
The jacket is hanging on the coat hanger.,correct
The sun is shining through the window.,correct
The pen is on the desk.,correct
The children are playing in the backyard.,correct
The music is playing from the speakers.,correct
The boat is sailing towards the island.,correct
The girl is running around the park.,correct
The pencil is in the pencil case.,correct
The birds are nesting in the tree.,correct
The coffee is served in the mug.,correct
The car is driving along the highway.,correct
The light is shining above the table.,correct
The fish is swimming through the aquarium.,correct
The phone is charging in the socket.,correct
The airplane is flying over the clouds.,correct
The kitten is sleeping on the pillow.,correct
The man is standing in front of the door.,correct
The rain is pouring onto the roof.,correct
The tree is planted next to the sidewalk.,correct
The spider is crawling under the bed.,correct
The car is parked in front of the store.,correct
The moon is shining upon the water.,correct
The teacher is sitting behind the desk.,correct
The kids are playing hide-and-seek around the house.,correct
The book is lying on the floor.,correct
The horse is galloping towards the fence.,correct
The boy is standing on the edge of the pool.,correct
The sun is rising above the horizon.,correct
The mug is filled with hot chocolate.,correct
The girl is standing under the umbrella.,correct
The painting is hanging between two windows.,correct
The train is traveling across the country.,correct
The ant is crawling on the wall.,correct
The flowers are blooming near the fountain.,correct
The dog is running after the ball.,correct
The book is opened at page 23.,correct
The car is driving under the tunnel.,correct
The guitar is leaning against the wall.,correct
The bird is perched on the branch.,correct
The girl is standing in front of the mirror.,correct
The sun is setting behind the hills.,correct
The cat is hiding behind the curtains.,correct
The music is playing inside the car.,correct
The cup is placed on the saucer.,correct
The train is going over the bridge.,correct
The man is walking towards the park.,correct
The leaves are falling onto the ground.,correct
The car is parked on the driveway.,correct
The moon is shining through the clouds.,correct
The plant is growing out of the pot.,correct
The coffee is brewing in the pot.,correct
The dog is digging under the fence.,correct
The ship is sailing towards the port.,correct
The girl is standing in front of the door.,correct
The plane is descending towards the airport.,correct
The book is kept on the shelf.,correct
The snow is piled up on the sidewalk.,correct
The tree is bending over the river.,correct
